type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,1519260,D-5,Harlan,289133,,2013,Point,-83.05639999979832,36.89109999990567
Feature,1519280,No 4,Pike,112379,,2013,Point,-82.3161000001061,37.30440000005249
Feature,1519301,Bear Branch,Leslie,363409,,2013,Point,-83.23859999959589,37.05330000025953
Feature,1519315,Yellow Mtn Surface Mine,Knott,44077,,2013,Point,-82.93139419981814,37.42670188745324
Feature,1519316,"Vfc-Louder Creek E, F, G, H",Harlan,7382,,2013,Point,-82.96779999965715,36.86470000024457
Feature,1519318,Garmeda #2,Bell,300215,,2013,Point,-83.87970000006692,36.61919999974985
Feature,1519322,Ghm #25,Walker,25054,,2013,Point,-83.41055500014068,36.781943999963936
Feature,1519325,Mine No. 7,Pike,101222,,2013,Point,-82.27390000020918,37.432199999674886
Feature,1519327,Mine #2,Letcher,72512,,2013,Point,-82.63359999986477,37.19499999977638
Feature,1519344,Equality,Ohio,2704744,,2013,Point,-87.07860000007946,37.38559999985905
Feature,1519358,Parkway Mine,Muhlenberg,1347372,,2013,Point,-87.05920000027159,37.29890000026513
Feature,1519359,Bear Branch Mine Auger No. 1,Pike,1100,,2013,Point,-82.62969999999137,37.238599999939304
Feature,1519371,# 8,Pike,79479,,2013,Point,-82.58666599969312,37.55611100032338
Feature,1519374,River View Mine,Union,9310310,,2013,Point,-87.8885999996972,37.74329999999402
Feature,1519384,Oldhouse Branch,Leslie,197027,,2013,Point,-83.38560000007551,36.9316999997998
Feature,1519387,Logan Hollow #1,Knox,91180,,2013,Point,-83.94626194485483,36.86890701415628
Feature,1519396,Persimmon #1,Pike,48246,,2013,Point,-82.04830000041547,37.514999999692485
Feature,1519400,#88,Knott,199206,,2013,Point,-83.03920000017241,37.22829999970911
Feature,1519402,Wayland Refuse Pile,Floyd,20853,Refuse coal is included,2013,Point,-82.80029999972788,37.44559999988983
Feature,1519408,Hance Mine No. 1,Bell,224482,,2013,Point,-83.50999999958428,36.754699999921336
Feature,1519413,Emma #1,Floyd,9217,,2013,Point,-82.73055499959652,37.64083299975412
Feature,1519416,Bearville,Knott,350610,,2013,Point,-83.07469999996437,37.379999999655176
Feature,1519418,Cloverlick # 3 Mine,Harlan,6560,,2013,Point,-82.97810000005985,36.933900000120246
Feature,1519419,Noble Mine #2,Perry,31546,,2013,Point,-83.13780000024234,37.344999999739954
